product_id,warehouse_id,snapshot_date,quantity_on_hand
P001,WH-EAST,2026-07-28,120
P001,WH-EAST,2026-08-04,95
P001,WH-EAST,2026-08-11,140
P002,WH-WEST,2026-07-28,60
P002,WH-WEST,2026-08-04,45
P002,WH-WEST,2026-08-11,30
P003,WH-CENTRAL,2026-07-28,300
P003,WH-CENTRAL,2026-08-04,280
P003,WH-CENTRAL,2026-08-11,260
P004,WH-EAST,2026-07-28,40
P004,WH-EAST,2026-08-04,35
P004,WH-EAST,2026-08-11,55
P005,WH-WEST,2026-07-28,150
P005,WH-WEST,2026-08-04,130
P005,WH-WEST,2026-08-11,110
P006,WH-CENTRAL,2026-07-28,80
P006,WH-CENTRAL,2026-08-04,70
P006,WH-CENTRAL,2026-08-11,90
P007,WH-EAST,2026-07-28,65
P007,WH-EAST,2026-08-04,50
P007,WH-EAST,2026-08-11,75
P008,WH-WEST,2026-07-28,200
P008,WH-WEST,2026-08-04,180
P008,WH-WEST,2026-08-11,220
P009,WH-CENTRAL,2026-07-28,45
P009,WH-CENTRAL,2026-08-04,40
P009,WH-CENTRAL,2026-08-11,38
P010,WH-EAST,2026-07-28,90
P010,WH-EAST,2026-08-04,85
P010,WH-EAST,2026-08-11,100
P011,WH-WEST,2026-07-28,30
P011,WH-WEST,2026-08-04,25
P011,WH-WEST,2026-08-11,45
P012,WH-CENTRAL,2026-07-28,110
P012,WH-CENTRAL,2026-08-04,100
P012,WH-CENTRAL,2026-08-11,95
P013,WH-EAST,2026-07-28,15
P013,WH-EAST,2026-08-04,12
P013,WH-EAST,2026-08-11,20
P014,WH-WEST,2026-07-28,500
P014,WH-WEST,2026-08-04,470
P014,WH-WEST,2026-08-11,440
P015,WH-CENTRAL,2026-07-28,350
P015,WH-CENTRAL,2026-08-04,330
P015,WH-CENTRAL,2026-08-11,300
P016,WH-EAST,2026-07-28,25
P016,WH-EAST,2026-08-04,20
P016,WH-EAST,2026-08-11,30
P017,WH-WEST,2026-07-28,70
P017,WH-WEST,2026-08-04,60
P017,WH-WEST,2026-08-11,55
P018,WH-CENTRAL,2026-07-28,55
P018,WH-CENTRAL,2026-08-04,50
P018,WH-CENTRAL,2026-08-11,65
P019,WH-EAST,2026-07-28,180
P019,WH-EAST,2026-08-04,160
P019,WH-EAST,2026-08-11,200
P020,WH-WEST,2026-07-28,95
P020,WH-WEST,2026-08-04,85
P020,WH-WEST,2026-08-11,110
